"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/21/21","1","DSCN3627",1,1030,0.462287155,36.84102734,"Cattle",NA,"no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002240234,"Cattle",2021,6,21,10,30,"","",NA,4,259614.2139,51432.16978,"LB","LB","LB",3.24008896226466e-08,6.55420846250091e-08,0.3299544,0.5096289,NA,NA,NA,"CT25"
"6/21/21","2","DSCN7107",1,1002,0.468119882,36.85876544,"Cattle",NA,"no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00615795,"Cattle",2021,6,21,10,2,"","",NA,3,261589.5496,52076.71211,"LB","LB","OG",3.60648203234795e-08,3.70057723247348e-08,0.3447322,0.5295072,NA,NA,NA,"CT26"
"6/21/21","2","DSCN7108",1,1034,0.487642345,36.86004173,"Cattle",NA,"full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light",NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.008092981,"Cattle",2021,6,21,10,34,"","",NA,3,261732.3397,54236,"OG","OG","OG",4.77082969240155e-08,7.09772019245269e-08,0.3147316,0.4827711,NA,NA,NA,"CT27"
"6/21/21","2","DSCN7108",3,1129,0.487708951,36.84743209,"Cattle",NA,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002360377,"Cattle",2021,6,21,11,29,"","",NA,3,260328.2665,54243.81758,"LB","LB","LB",2.83520875005757e-08,5.7063648699814e-08,0.3307453,0.5199349,NA,NA,NA,"CT28"
"6/22/21","1","DSCN8000",1,927,0.481162289,36.84088194,"MC",NA,"full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","","medium",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngaremata Dam Area, Mpala cattle",0.000782081,"Cattle",2021,6,22,9,27,"","",NA,3,259598.675,53519.93323,"LB","MB","LB",5.70851003180586e-08,6.31153213209878e-08,0.3987697,0.7089872,NA,NA,NA,"CT29"
"6/22/21","1","DSCN8000",2,951,0.478734676,36.84456276,"MC",NA,"full","","","Grazing","hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum mezzianum","medium",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ngaremata Dam Area, Mpala cattle",0.000110192,"Cattle",2021,6,22,9,51,"","",NA,4,260008.4504,53251.28789,"LB","LB","LB",4.16144533762108e-08,6.55677673759946e-08,0.3617486,0.5949492,NA,NA,NA,"CT30"
"6/22/21","1","DSCN8000",3,956,0.472788775,36.84103295,"MC",NA,"full","light","no rain","Grazing","belly","brown with some green","Enteropogon macrostachyus","Cenchrus ciliaris","Cynodon plectostachyus","Chloris roxburghiana","medium",NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rongai Area, Mpala Cattle",0.002964638,"Cattle",2021,6,22,9,56,"","",NA,4,259615.1975,52593.74257,"LB","LB","LB",3.50250331234198e-08,6.04662031245871e-08,0.3519,0.5486568,NA,NA,NA,"CT31"
"6/22/21","1","DSCN8002",3,1139,0.472049501,36.85156438,"CC",NA,"full","light","no rain","Grazing","hock","","Cenchrus ciliaris","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","thick",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001507748,"Cattle",2021,6,22,11,39,"","",NA,4,260787.8489,52511.60676,"LB","LB","LB",4.26533338008197e-08,6.18095448011345e-08,0.3283019,0.5045623,NA,NA,NA,"CT32"
"6/23/21","1","DSCN8262",2,1159,0.460097277,36.84117812,"Cattle",NA,"full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cenchrus ciliaris","Cymbopogon pospischilii","Enteropogon macrostachyus","light",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001692163,"Cattle",2021,6,23,11,59,"","",NA,4,259630.9298,51189.94464,"LB","MB","LB",4.53115541296695e-08,4.90822011268099e-08,0.3783411,0.6418887,NA,NA,NA,"CT33"
"6/23/21","1","DSCN8258",1,940,0.486164181,36.86209384,"Cattle",NA,"part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","light",NA,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lima 5",0.005681484,"Cattle",2021,6,23,9,40,"","",NA,4,261960.7873,54072.43107,"OG","OG","OG",2.14014603606873e-08,6.71818693595386e-08,0.2909699,0.4382872,NA,NA,NA,"CT34"
