"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/15/21","2","DSCN6973",1,930,0.477660938,36.85950232,"Cattle",NA,"full","light","no rain","Grazing","hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","Cyperus rubicundus","light",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003221681,"Cattle",2021,6,15,9,30,"","",NA,4,261671.9282,53132,"LB","OG","LB",4.77180830465142e-08,6.58579150434353e-08,0.3063892,0.4579987,NA,NA,NA,"CT10"
"6/15/21","2","DSCN6974",2,1039,0.485785825,36.84534865,"Cattle",NA,"full","medium","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Pennisetum mezzianum","medium",NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000246175,"Cattle",2021,6,15,10,39,"","",NA,4,260096.2081,54031.17796,"LB","LB","LB",3.60651531243777e-08,6.79607281253413e-08,0.3471159,0.5369976,NA,NA,NA,"CT11"
"6/16/21","2","DSCN7378",3,1213,0.500134224,36.85173496,"Cattle",NA,"part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","","light",NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00402267,"Cattle",2021,6,16,12,13,"","",NA,3,260807.8372,55618,"MB","OG","MB",3.48113781756057e-08,4.43140921763305e-08,0.3150968,0.4560394,NA,NA,NA,"CT13"
"6/16/21","2","DSCN7379",1,1217,0.502111389,36.85056664,"Cattle",NA,"full","light","no rain","Drinking","hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","Microchloa kunthii","light",NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003229423,"Cattle",2021,6,16,12,17,"","",NA,4,260677.8176,55836.73355,"LB","LB","LB",3.18502703209185e-08,7.26205493220584e-08,0.3096136,0.4416807,NA,NA,NA,"CT14"
"6/16/21","2","DSCN7380",1,1257,0.494742247,36.84913502,"Cattle",NA,"part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000488901,"Cattle",2021,6,16,12,57,"","",NA,4,260518.1394,55021.69778,"MB","MB","MB",3.96818102091164e-08,4.52487932088449e-08,0.3825924,0.5969712,NA,NA,NA,"CT15"
"6/17/21","2","DSCN7997",2,1100,0.485345348,36.85832857,"Cattle",NA,"full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.007855531,"Cattle",2021,6,17,11,0,"","",NA,4,261541.5,53981.99554,"LB","LB","LB",2.39627640042541e-08,6.67278860027726e-08,0.3272497,0.5081877,NA,NA,NA,"CT16"
"6/17/21","2","DSCN7998",2,1240,0.49890006,36.85149937,"Cattle",NA,"full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003549159,"Cattle",2021,6,17,12,40,"","",NA,3,260781.5596,55481.5,"OG","OG","MB",2.42043364998407e-08,5.72083265002484e-08,0.2963892,0.4142136,NA,NA,NA,"CT17"
"6/17/21","2","DSCN7998",3,1308,0.49842216,36.84550815,"Cattle",NA,"full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001032168,"Cattle",2021,6,17,13,8,"","",NA,3,260114.4224,55428.85965,"MB","LB","MB",3.68710641000825e-08,7.44687541000299e-08,0.3856348,0.6382699,NA,NA,NA,"CT18"
"6/18/21","1","DSCN7109",3,1104,0.468435333,36.85156982,"Cattle",NA,"full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001059061,"Cattle",2021,6,18,11,4,"","",NA,4,260788.3311,52111.85011,"LB","MB","LB",3.91663244888052e-08,5.0580087489848e-08,0.3297601,0.495095,NA,NA,NA,"CT19"
"6/18/21","2","DSCN7111",3,1029,0.486811836,36.8604694,"Cattle",NA,"full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.007293314,"Cattle",2021,6,18,10,29,"","",NA,4,261779.9313,54144.12427,"OG","OG","OG",4.47582268971733e-08,6.09540808957032e-08,0.3143261,0.4865062,NA,NA,NA,"CT20"
"6/18/21","2","DSCN7112",2,1052,0.500591593,36.84561668,"Cattle",NA,"full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000739505,"Cattle",2021,6,18,10,52,"Oryx","",NA,4,260126.5863,55668.81357,"OG","LB","LB",3.48785068485423e-08,7.66947298492842e-08,0.3471527,0.5537397,NA,NA,NA,"CT22"
"6/18/21","2","DSCN7113",1,1121,0.481442805,36.84456876,"Cattle",NA,"full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.00059091,"Cattle",2021,6,18,11,21,"","",NA,4,260009.2139,53550.83022,"MB","MB","MB",4.36671346248275e-08,7.14569796250822e-08,0.4226804,0.7059097,NA,NA,NA,"CT23"
"6/18/21","2","DSCN7113",2,1127,0.472066786,36.85210161,"Cattle",NA,"full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light",NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002044934,"Cattle",2021,6,18,11,27,"","",NA,4,260847.6699,52513.5,"LB","LB","LB",4.28542762950923e-08,5.41896722963716e-08,0.3495221,0.5449493,NA,NA,NA,"CT24"
"6/18/21","2","DSCN7112",1,1041,0.499592772,36.85476823,"Cattle",NA,"full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light",3515,3530,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003994164,"Cattle",2021,6,18,10,41,"Impala","",NA,4,261145.5692,55558,"LB","LB","LB",3.54537560839606e-08,4.45554980841032e-08,0.3253307,0.5028018,NA,NA,NA,"CT21"
"6/15/21","2","DSCN6975",1,1104,0.499025815,36.84902968,"Cattle",NA,"full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Pennisetum stramineum","Digitaria macroblefara","light",6906,6962,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001112832,"Cattle",2021,6,15,11,4,"","",NA,4,260506.5648,55495.5,"MB","OG","MB",3.57205606244016e-08,5.33625256253732e-08,0.3484634,0.5278613,NA,NA,NA,"CT12"
