"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/21/21","1","DSCN3627",2,1053,0.46701693,36.8402486,"PZ",1,"part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light",3538,3555,7,1,NA,2,1,1,1,NA,1,NA,NA,NA,"",0.003431691,"PZ",2021,6,21,10,53,"","",NA,4,259527.6612,51955.35199,"LB","LB","LB",2.68648408999854e-08,5.73272609002275e-08,0.3510002,0.549187,530.293310100911,100,0.188574885059274,"PZ71"
"6/21/21","1","DSCN3627",3,1136,0.470712417,36.83985874,"PZ",1,"part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","light",3556,3604,4,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,"",0.003908117,"PZ",2021,6,21,11,36,"Giraffe","",NA,4,259484.3771,52364.11958,"LB","LB","LB",3.44645612908377e-08,5.88165482889023e-08,0.3317647,0.5071132,940.950596128342,100,0.106275505229979,"PZ72"
"6/21/21","1","DSCN3628",1,1149,0.483614058,36.84230352,"PZ",0,"part","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","Microchloa kunthii","light",3605,3610,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4.45e-06,"PZ",2021,6,21,11,49,"","",NA,4,259757.0554,53791.07016,"MB","MB","LB",2.77522897630659e-08,8.01180777646729e-08,0.3691625,0.6006962,728.877456833349,220,0.301834002324304,"PZ73"
"6/25/21","1","DSCN1592",2,1007,0.468710434,36.84056208,"PZ",0,"full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","Cynodon plectostachyus","","medium",3636,3647,9,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,"",0.003482705,"PZ",2021,6,25,10,7,"Giraffe","",NA,3,259562.6255,52142.65787,"LB","LB","OG",3.80091363561761e-08,6.92243603538058e-08,0.3420985,0.5414117,696.749771933505,345,0.495156243887333,"PZ92"
"6/25/21","1","DSCN1592",3,1020,0.469789343,36.84041403,"PZ",0,"full","light","no rain","Standing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Enteropogon macrostachyus","Cynodon plectostachyus","light",3648,3668,12,1,NA,4,3,NA,NA,NA,2,NA,1,NA,"",0.003424029,"PZ",2021,6,25,10,20,"","",NA,4,259546.1769,52262,"LB","LB","LB",3.30898857505672e-08,4.88640127481082e-08,0.365894,0.6035503,597.687533452493,345,0.577224687968775,"PZ93"
"6/25/21","1","DSCN5572",2,1140,0.451013563,36.84301555,"PZ",0,"full","light","no rain","Resting","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","","medium",3691,3704,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001352934,"PZ",2021,6,25,11,40,"","",NA,3,259835.2252,50185.14394,"LB","LB","LB",6.5125691268979e-08,7.01400982706297e-08,0.3565121,0.5299426,2595.27776051364,345,0.132933748074698,"PZ94"
"6/29/21","4","DSCN4392",3,1040,0.479213145,36.87224665,"PZ",0,"full","light","no rain","Walking","hoof","brown with some green","Cynodon nlemfuensis","Pennisetum stramineum","","","medium",3897,3934,12,2,NA,2,3,1,NA,1,NA,NA,2,1,"",0.004940132,"PZ",2021,6,29,10,40,"Impala","",NA,2,263091.0449,53303.24101,"MB","MB","MB",2.55547545254739e-08,5.25812595246467e-08,0.4723603,0.8214649,436.85200597342,10,0.022891047456026,"PZ105"
"6/29/21","4","DSCN4395",3,1131,0.483091817,36.86128206,"PZ",0,"full","light","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","","","light",3935,3947,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boundary Area",0.004171968,"PZ",2021,6,29,11,31,"Grants gazelle","",NA,2,261870.2895,53732.6336,"OG","OG","OG",4.54900590901103e-08,6.31507460891798e-08,0.3092593,0.4784415,1230.3145461784,80,0.0650240219043895,"PZ106"
"6/30/21","4","DSCN4195",2,1041,0.48577677,36.87360028,"PZ",0,"full","no wind","no rain","Resting","hock","brown with some green","Cynodon plectostachyus","Microchloa kunthii","Cynodon nlemfuensis","Pennisetum stramineum","medium",3967,4006,18,3,NA,3,5,1,NA,1,1,2,1,1,"Tower Area",0.000651593,"PZ",2021,6,30,10,41,"","",NA,4,263241.9971,54029.17387,"MB","LB","MB",1.98415512990336e-08,8.27375713009992e-08,0.3863697,0.6031128,787.727138615318,30,0.0380842534544776,"PZ109"
"6/30/21","4","DSCN4199",1,1128,0.484009981,36.86664969,"PZ",0,"full","no wind","no rain","Resting","hock","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","light",4018,4039,6,1,NA,NA,1,3,NA,NA,NA,1,NA,NA,"",0.00115132,"PZ",2021,6,30,11,28,"","",NA,2,262468,53834,"OG","OG","OG",2.37177024607415e-08,5.35335114633563e-08,0.3623831,0.5711625,1098.21689457794,30,0.0273170082777925,"PZ111"
