"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/3/21","2","DSCN2513",2,1025,0.47077494,36.85956264,"GZ",0,"full","light","no rain","Walking","hock","green with some brown","Chloris roxburghiana","Cynodon plectostachyus","Enteropogon macrostachyus","Cynodon nlemfuensis","light",1478,1527,14,1,NA,5,1,NA,NA,3,1,2,NA,NA,"Outside study area",0.003862279,"GZ",2021,6,3,10,25,"Elephant","",NA,4,261678.4078,52370.35429,"LB","LB","LB",3.52971392009043e-08,4.05300291994646e-08,0.3343181,0.5131887,NA,NA,NA,"GZ1"
"6/3/21","2","DSCN2513",3,1046,0.472146249,36.85981476,"GZ",1,"full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light",1567,1566,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003166762,"GZ",2021,6,3,10,46,"Impala","",NA,4,261706.5274,52522.02283,"MB","LB","MB",2.94430462002596e-08,4.66984072025321e-08,0.3253074,0.4907264,NA,NA,NA,"GZ2"
"6/3/21","2","DSCN2514",1,1055,0.476648303,36.85996747,"GZ",1,"full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light",1567,1602,7,1,NA,1,1,NA,11,1,1,NA,NA,NA,"",0.002698877,"GZ",2021,6,3,10,55,"Impala","",NA,4,261723.687,53019.97871,"LB","LB","OG",4.9968026509107e-08,6.34600935079688e-08,0.3631369,0.5722157,NA,NA,NA,"GZ3"
"6/3/21","2","DSCN2515",1,1126,0.478855584,36.86247627,"GZ",0,"full","light","no rain","Grazing","hoof","green","Digitaria macroblefara","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium",1698,1787,17,1,2,2,4,2,NA,1,1,2,2,NA,"",0.000423811,"GZ",2021,6,3,11,26,"","",NA,4,262003.1154,53264.0329,"OG","OG","LB",3.36381851566602e-08,5.12050111541752e-08,0.3439962,0.5607004,NA,NA,NA,"GZ4"
"6/3/21","2","DSCN2515",3,1148,0.50163067,36.85006329,"GZ",0,"full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Microchloa kunthii","medium",1817,1820,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.002762051,"GZ",2021,6,3,11,48,"Elephant","",NA,4,260621.7528,55783.58058,"LB","LB","LB",5.25216849998867e-08,5.7555865000048e-08,0.2933489,0.4080639,NA,NA,NA,"GZ6"
"6/3/21","2","DSCN2516",1,1158,0.497019943,36.83998142,"GZ",0,"full","light","no rain","Grazing","hock","green with some brown","Cenchrus ciliaris","Enteropogon macrostachyus","Chloris roxburghiana","Cynodon plectostachyus","light",1821,1891,20,1,NA,10,NA,4,4,1,NA,NA,NA,NA,"",0.003993581,"GZ",2021,6,3,11,58,"Impala","",NA,4,259498.9704,55273.96455,"OG","OG","OG",4.45210188503413e-08,4.61329458491232e-08,0.2885179,0.4447767,NA,NA,NA,"GZ7"
"6/3/21","2","DSCN2516",3,1314,0.481024214,36.8440771,"GZ",1,"full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light",1960,2003,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2.3e-05,"GZ",2021,6,3,13,14,"Impala","",NA,4,259954.4523,53504.54773,"LB","LB","LB",2.52525349960429e-08,7.84467309954395e-08,0.3346515,0.5146723,NA,NA,NA,"GZ8"
"6/3/21","2","DSCN2517",1,1322,0.483220847,36.8394061,"GZ",0,"full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Cynodon nlemfuensis","Cynodon dactylon","light",2004,2017,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001644963,"GZ",2021,6,3,13,22,"Giraffe","",NA,4,259434.4123,53747.68081,"OG","OG","OG",3.38527214088197e-08,4.14314384094238e-08,0.2773071,0.3940518,NA,NA,NA,"GZ9"
"6/3/21","2","DSCN2517",2,1328,0.48578593,36.83735492,"GZ",0,"full","light","no rain","Grazing","belly","green with some brown","Cenchrus ciliaris","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","light",2018,2022,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"",0.004854869,"GZ",2021,6,3,13,28,"","",NA,4,259206.1041,54031.47562,"LB","LB","OG",6.13151113000354e-08,7.07483312991324e-08,0.339759,0.5471243,NA,NA,NA,"GZ10"
"6/3/21","2","DSCN2517",3,1345,0.501811998,36.85066333,"GZ",0,"full","light","no rain","Drinking","hock","green with some brown","Cynodon plectostachyus","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","medium",2023,2044,5,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,"",0.003377041,"GZ",2021,6,3,13,45,"","",NA,4,260688.5731,55803.61493,"LB","LB","LB",3.46879377051055e-08,3.93568657026129e-08,0.2784131,0.379767,NA,NA,NA,"GZ11"
