"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/21/21","1","DSCN3627",2,1053,0.46701693,36.8402486,"GZ",1,"part","no wind","no rain","Grazing","hock","brown","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light",3538,3555,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003431691,"GZ",2021,6,21,10,53,"","",NA,4,259527.6612,51955.35199,"LB","LB","LB",2.68648408999854e-08,5.73272609002275e-08,0.3510002,0.549187,530.293310100911,100,0.188574885059274,"GZ73"
"6/21/21","1","DSCN3627",3,1136,0.470712417,36.83985874,"GZ",1,"part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","light",3556,3604,5,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,"",0.003908117,"GZ",2021,6,21,11,36,"Giraffe","",NA,4,259484.3771,52364.11958,"LB","LB","LB",3.44645612908377e-08,5.88165482889023e-08,0.3317647,0.5071132,940.950596128342,100,0.106275505229979,"GZ74"
"6/21/21","1","DSCN3628",2,1253,0.454465578,36.84203038,"GZ",0,"full","light","no rain","Grazing","hoof","brown","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light",3611,3621,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",7.52e-05,"GZ",2021,6,21,12,53,"Elephant","",NA,4,259725.641,50567,"LB","LB","LB",3.01415728844078e-08,6.41221648838371e-08,0.3675,0.582086,872.315738044232,100,0.114637390612936,"GZ75"
"6/25/21","1","DSCN5579",3,1100,0.465458574,36.83977468,"GZ",0,"full","light","no rain","Standing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light",3669,3679,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old Boma Glade",0.003892546,"GZ",2021,6,25,11,0,"Elephant"," Giraffe",NA,4,259474.8372,51783,"MB","LB","MB",3.10655806760064e-08,7.87652446764213e-08,0.3551222,0.5814372,964.718298166656,345,0.35761734866603,"GZ92"
"6/25/21","1","DSCN5572",1,1125,0.475955497,36.85039919,"GZ",0,"full","light","no rain","Walking","belly","brown","Pennisetum stramineum","Pennisetum mezzianum","Cynodon nlemfuensis","Microchloa kunthii","medium",3680,3691,5,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000447232,"GZ",2021,6,25,11,25,"","",NA,4,260658.2404,52943.68241,"MB","MB","LB",3.4129186309282e-08,3.84253193081933e-08,0.3991485,0.6528552,840.268511280804,20,0.0238019153776357,"GZ91"
"7/1/21","1","DSCN4540",1,1025,0.445440137,36.84276155,"GZ",1,"full","light","no rain","Grazing","hock","brown","Themeda triandra","Pennisetum mezzianum","Pennisetum stramineum","Cenchrus ciliaris","medium",4200,4244,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,"",0.003723539,"GZ",2021,7,1,10,25,"","",NA,4,259806.7596,49568.68241,"LB","LB","LB",2.9080523068973e-08,7.17949160694205e-08,0.3446737,0.5305176,3071.2233676441,60,0.0195361889441546,"GZ96"
"7/2/21","1","DSCN4552",1,1123,0.492847112,36.83942721,"GZ",0,"full","light","no rain","Standing","hoof","brown","Digitaria macroblefara","Pennisetum stramineum","Enteropogon macrostachyus","","open grassland",4325,4327,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003506266,"GZ",2021,7,2,11,23,"","",NA,3,259437.1075,54812.43201,"LB","LB","MB",4.08711054439925e-08,4.41757874440776e-08,0.3453219,0.5472493,896.241816796495,50,0.055788514955387,"GZ97"
"7/2/21","1","DSCN4553",1,1208,0.455233606,36.85082349,"GZ",0,"full","light","no rain","Standing","hoof","brown","Themeda triandra","Pennisetum stramineum","Chloris roxburghiana","Cynodon plectostachyus","light",4355,4381,10,NA,NA,NA,5,NA,NA,1,NA,NA,4,NA,"",0.004409851,"GZ",2021,7,2,12,8,"","",NA,4,260704.7831,50651.65636,"OG","OG","OG",3.68784841360403e-08,7.70329001338109e-08,0.2740197,0.4011683,1059.8835813592,230,0.217004965493498,"GZ98"
"7/5/21","1","DSCN4546",1,955,0.42646405,36.85222123,"GZ",1,"full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","","medium",4406,4437,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"",0.010919951,"GZ",2021,7,5,9,55,"","",NA,3,260859.4966,47469.46382,"OG","OG","OG",4.798463540157e-08,6.93692353996579e-08,0.2630828,0.4045355,3091.75087290546,20,0.00646882650709967,"GZ99"
"7/5/21","2","DSCN4548",1,1136,0.471747038,36.8539836,"GZ",0,"full","light","no rain","Resting","hock","brown","Pennisetum stramineum","Digitaria macroblefara","Cynodon plectostachyus","","medium",4452,4474,8,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,"",0.003927704,"GZ",2021,7,5,11,36,"","",NA,3,261057.2178,52478.06827,"LB","LB","LB",3.74916006451239e-08,7.6719632643639e-08,0.3180485,0.4826442,653.18993333002,50,0.0765474136214682,"GZ100"
"6/21/21","2","DSCN7107",3,1020,0.483049598,36.86025661,"GZ",1,"full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","","light",7614,7662,12,1,NA,NA,4,1,NA,NA,NA,2,1,1,"",0.004865595,"GZ",2021,6,21,10,20,"Oryx","",NA,3,261756.1051,53728,"OG","OG","OG",6.25605017039907e-08,7.14573297024315e-08,0.2864231,0.4203906,508.555596014004,162,0.318549242737086,"GZ76"
"6/22/21","1","DSCN8001",3,1047,0.458429028,36.83380688,"GZ",0,"full","light","no rain","Grazing","belly","brown with some green","Enteropogon macrostachyus","Pennisetum stramineum","Cenchrus ciliaris","Cymbopogon pospischilii","medium",7794,7825,5,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,"Rongai Area",0.008266234,"GZ",2021,6,22,10,47,"Giraffes"," Impala",NA,4,258810.0786,51005.67098,"OG","OG","OG",2.54301811840767e-08,6.49240391838085e-08,0.2878645,0.4457068,1780.50212527319,150,0.0842458977559359,"GZ77"
"6/22/21","1","DSCN8002",2,1116,0.462850205,36.83950902,"GZ",1,"full","light","no rain","Grazing","belly","brown with some green","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","Enteropogon macrostachyus","",7839,7913,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soing'ash Dam Area",0.003830163,"GZ",2021,6,22,11,16,"Impala","",NA,4,259445.1673,51494.5,"MB","MB","MB",6.90148774250074e-08,7.24179324274837e-08,0.4007667,0.6857402,1112.31492690346,150,0.134853894676723,"GZ79"
"6/22/21","1","DSCN 8003",1,1214,0.466562639,36.8499989,"GZ",0,"full","light","no rain","Grazing","hock","brown with some green","Enteropogon macrostachyus","Pennisetum stramineum","Cynodon plectostachyus","Cenchrus ciliaris","light",7923,7996,8,NA,NA,4,NA,1,NA,2,NA,NA,NA,NA,"",0.001023276,"GZ",2021,6,22,12,14,"Impala","",NA,4,260613.3453,51904.76863,"LB","LB","LB",4.1345823120908e-08,6.64752521222673e-08,0.2903226,0.421638,631.430140581577,160,0.253393035455367,"GZ80"
"6/23/21","2","DSCN8259",2,1014,0.498823178,36.85371225,"GZ",1,"part","light","no rain","Walking","hoof","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","light",8006,8045,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004908401,"GZ",2021,6,23,10,14,"","",NA,4,261027.9594,55472.91535,"LB","LB","MB",2.73674869833143e-08,5.22068789831369e-08,0.3097813,0.4559926,421.992652588401,80,0.189576760422914,"GZ83"
