"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/4/21","1","DSCN2512",3,1315,0.462613257,36.84806615,"PZ",0,"full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light",NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No photos",0.003661803,"PZ",2021,6,4,13,15,"","",NA,4,260398,51468,"LB","LB","LB",4.31612455506095e-08,6.34874725485665e-08,0.3319787,0.5212987,NA,NA,NA,"PZ18"
"6/3/21","2","DSCN2513",1,1020,0.468911959,36.85907079,"PZ",0,"full","light","no rain","Standing","hock","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","light",1454,1477,12,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",0.005377905,"PZ",2021,6,3,10,20,"","",NA,4,261623.5766,52164.31139,"OG","LB","LB",3.24734663821145e-08,4.17695173795112e-08,0.2996323,0.4314738,NA,NA,NA,"PZ1"
"6/3/21","2","DSCN2513",3,1046,0.472146249,36.85981476,"PZ",1,"full","light","","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Digitaria macroblefara","Pennisetum stramineum","Pennisetum mezzianum","light",1528,1566,23,2,NA,1,4,NA,NA,1,1,2,NA,NA,"",0.003166762,"PZ",2021,6,3,10,46,"Impala","",NA,4,261706.5274,52522.02283,"MB","LB","MB",2.94430462002596e-08,4.66984072025321e-08,0.3253074,0.4907264,NA,NA,NA,"PZ2"
"6/3/21","2","DSCN2514",1,1055,0.476648303,36.85996747,"PZ",1,"full","light","no rain","Grazing","hock","green with some brown","Cynodon plectostachyus","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","light",1567,1602,10,1,NA,2,3,NA,NA,1,1,1,1,NA,"",0.002698877,"PZ",2021,6,3,10,55,"Impala","",NA,4,261723.687,53019.97871,"LB","LB","OG",4.9968026509107e-08,6.34600935079688e-08,0.3631369,0.5722157,NA,NA,NA,"PZ3"
"6/3/21","2","DSCN2514",2,1103,0.478243289,36.8614674,"PZ",0,"full","light","no rain","Grazing","hock","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","Enteropogon macrostachyus","Enteropogon macrostachyus","light",1603,1624,12,2,2,NA,7,NA,NA,NA,1,3,2,NA,"",0.001305914,"PZ",2021,6,3,11,3,"Giraffe","",NA,4,261890.7577,53196.34373,"OG","OG","OG",1.95132457209588e-08,7.72706247211559e-08,0.3459087,0.5532904,NA,NA,NA,"PZ4"
"6/3/21","2","DSCN2514",3,1116,0.470072435,36.86202857,"PZ",0,"full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","open grassland",1625,1697,33,3,NA,8,10,1,NA,1,3,4,3,NA,"Photos up to 1741, see sheet for additional info",0.002729917,"PZ",2021,6,3,11,16,"Eland"," Giraffe",NA,4,261952.9627,52292.56726,"MB","OG","MB",2.88489931238593e-08,5.59452081243177e-08,0.2838542,0.3874316,NA,NA,NA,"PZ5"
"6/3/21","2","DSCN2516",2,1302,0.47880626,36.84758671,"PZ",0,"full","light","no rain","Grazing","hock","green with some brown","Cynodon nlemfuensis","Pennisetum mezzianum","Enteropogon macrostachyus","Cynodon plectostachyus","light",1892,1959,20,3,1,4,6,3,1,NA,2,3,NA,1,"",0.002080663,"PZ",2021,6,3,13,2,"Elephant","",NA,4,260345.1697,53259.0992,"MB","LB","MB",4.85605396999859e-08,7.35509296990535e-08,0.3776736,0.65478,NA,NA,NA,"PZ6"
"6/3/21","2","DSCN2516",3,1314,0.481024214,36.8440771,"PZ",1,"full","light","no rain","Drinking","hoof","green with some brown","Cynodon dactylon","Pennisetum mezzianum","Pennisetum stramineum","Cynodon nlemfuensis","light",1960,2003,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2.3e-05,"PZ",2021,6,3,13,14,"Impala","",NA,4,259954.4523,53504.54773,"LB","LB","LB",2.52525349960429e-08,7.84467309954395e-08,0.3346515,0.5146723,NA,NA,NA,"PZ7"
"6/4/21","1","DSCN2507",1,1025,0.452792203,36.83933094,"PZ",0,"full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","","thick",2053,2071,6,1,NA,NA,1,3,NA,NA,1,NA,NA,NA,"",0.002614454,"PZ",2021,6,4,10,25,"Giraffe","",NA,3,259425,50382,"MB","MB","LB",3.9247139610242e-08,4.08041726066967e-08,0.3720865,0.6435788,NA,NA,NA,"PZ8"
"6/4/21","1","DSCN2507",3,1102,0.482575779,36.83464424,"PZ",1,"full","light","no rain","Walking","hock","brown with some green","Pennisetum stramineum","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","light",2127,2202,8,1,1,1,2,1,NA,NA,NA,2,NA,NA,"",0.00496521,"PZ",2021,6,4,11,2,"","",NA,4,258904.1532,53676.5,"OG","OG","OG",5.00842634410105e-08,6.67245486429529e-08,0.3509514,0.5709372,NA,NA,NA,"PZ9"
"6/4/21","1","DSCN2509",2,1128,0.470724828,36.84041488,"PZ",0,"full","no wind","no rain","Walking","belly","brown with some green","Enteropogon macrostachyus","Cynodon plectostachyus","Cenchrus ciliaris","Pennisetum mezzianum","medium",2257,2260,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003353027,"PZ",2021,6,4,11,28,"Impala","",NA,4,259546.3038,52365.47296,"LB","MB","LB",3.00238051858023e-08,5.80766631829628e-08,0.3590426,0.5612372,NA,NA,NA,"PZ10"
"6/4/21","1","DSCN2509",3,1138,0.47000135,36.83922024,"PZ",1,"full","light","no rain","Grazing","belly","green with some brown","Enteropogon macrostachyus","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","medium",2261,2293,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.004578341,"PZ",2021,6,4,11,38,"Impala","",NA,4,259413.2556,52285.49124,"LB","LB","LB",1.93104600997431e-08,8.00308600998653e-08,0.3274825,0.4964647,NA,NA,NA,"PZ11"
"6/4/21","1","DSCN2510",1,1148,0.469732218,36.83658387,"PZ",0,"full","light","no rain","Walking","belly","green with some brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Chloris roxburghiana","medium",2294,2330,8,1,NA,1,3,NA,NA,NA,NA,1,2,NA,"Soing'ash Dam Area ",0.006972524,"PZ",2021,6,4,11,48,"","",NA,4,259119.6837,52255.81417,"MB","LB","LB",2.09459516238963e-08,6.84485996246788e-08,0.380426,0.6055794,NA,NA,NA,"PZ12"
"6/4/21","1","DSCN2510",2,1203,0.450930767,36.84259335,"PZ",0,"full","no wind","no rain","Walking","belly","brown with some green","Themeda triandra","Pennisetum mezzianum","Cynodon plectostachyus","","thick",2331,2348,12,1,4,NA,1,NA,NA,NA,NA,NA,NA,1,"",0.00114117,"PZ",2021,6,4,12,3,"Elephant"," Oryx",NA,3,259788.2102,50176,"LB","LB","LB",2.61892979883535e-08,5.56431609896488e-08,0.3333333,0.5177002,NA,NA,NA,"PZ13"
