"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.from.mob","Closest.mob.size","Scaled.mob.size","Identifier"
"6/17/21","2","DSCN7997",2,1100,0.485345348,36.85832857,"GZ",1,"full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium",3330,3343,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",0.007855531,"GZ",2021,6,17,11,0,"","",NA,4,261541.5,53981.99554,"LB","LB","LB",2.39627640042541e-08,6.67278860027726e-08,0.3272497,0.5081877,0,NA,NA,"GZ66"
"6/17/21","2","DSCN7998",2,1240,0.49890006,36.85149937,"GZ",0,"full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium",3410,3441,5,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,"",0.003549159,"GZ",2021,6,17,12,40,"","",NA,3,260781.5596,55481.5,"OG","OG","MB",2.42043364998407e-08,5.72083265002484e-08,0.2963892,0.4142136,0,162,1.62e+12,"GZ67"
"6/17/21","1","DSCN8005",1,1345,0.481106358,36.84576039,"GZ",0,"full","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cyperus rubicundus","","open grassland",3442,3445,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",0.00169746,"GZ",2021,6,17,13,45,"","",NA,3,260141.8903,53513.57407,"LB","LB","LB",4.09956066642017e-08,4.97491946635231e-08,0.3177045,0.465574,1475.91530444367,NA,NA,"GZ64"
"6/17/21","1","DSCN8005",2,1407,0.478605384,36.8441942,"GZ",1,"full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","","","open grassland",3446,3458,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000244215,"GZ",2021,6,17,14,7,"Elephant","",NA,2,259967.4064,53237,"LB","LB","LB",3.38753846550647e-08,4.13627106576201e-08,0.3233342,0.4828878,1741.49045825145,NA,NA,"GZ65"
"6/18/21","2","DSCN7112",1,1041,0.499592772,36.85476823,"GZ",1,"full","no wind","no rain","Grazing","hoof","brown","Enteropogon macrostachyus","Pennisetum stramineum","Pennisetum mezzianum","Aristida adscensionis","light",3515,3530,6,1,NA,2,NA,1,1,1,NA,NA,NA,NA,"",0.003994164,"GZ",2021,6,18,10,41,"Impala","",NA,4,261145.5692,55558,"LB","LB","LB",3.54537560839606e-08,4.45554980841032e-08,0.3253307,0.5028018,0,300,3e+12,"GZ71"
"6/18/21","2","DSCN7112",3,1110,0.48732613,36.84671643,"GZ",0,"full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Microchloa kunthii","Pennisetum mezzianum","light",3531,3537,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.001650084,"GZ",2021,6,18,11,10,"","",NA,4,260248.5648,54201.5,"LB","LB","LB",4.56240617994399e-08,5.01071818002485e-08,0.3153998,0.4807765,693.296484872128,300,0.432715305134266,"GZ72"
"6/15/21","2","DSCN6973",3,956,0.496988257,36.85154497,"GZ",1,"full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Cynodon plectostachyus","Eragrostis tenuifolia","Microchloa kunthii","light",6745,6874,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.003325998,"GZ",2021,6,15,9,56,"Impala","",NA,4,260786.5673,55270.03733,"MB","MB","LB",3.78400527491684e-08,4.3152279748777e-08,0.3025271,0.4266223,359.492441603131,150,0.417254947923366,"GZ52"
"6/15/21","2","DSCN6974",1,1013,0.495705957,36.84342744,"GZ",0,"full","light","no rain","Walking","belly","green with some brown","Chloris roxburghiana","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","medium",6875,6877,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.000438568,"GZ",2021,6,15,10,13,"Impala","",NA,4,259882.6366,55128.5,"MB","LB","MB",2.25995652487713e-08,7.26963382492801e-08,0.3641737,0.5855856,723.86144997177,150,0.207221975981494,"GZ53"
"6/15/21","2","DSCN6975",1,1104,0.499025815,36.84902968,"GZ",0,"full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Pennisetum stramineum","Digitaria macroblefara","light",6906,6962,13,NA,NA,6,1,2,3,NA,NA,1,NA,NA,"",0.001112832,"GZ",2021,6,15,11,4,"","",NA,4,260506.5648,55495.5,"MB","OG","MB",3.57205606244016e-08,5.33625256253732e-08,0.3484634,0.5278613,0,150,1.5e+12,"GZ54"
"6/15/21","2","DSCN6975",2,1115,0.49365844,36.85341138,"GZ",0,"full","medium","no rain","Walking","hock","green with some brown","Pennisetum mezzianum","Pennisetum stramineum","Enteropogon macrostachyus","Cynodon dactylon","medium",6963,6971,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,"",0.004710448,"GZ",2021,6,15,11,15,"Impala","",NA,4,260994.2708,54901.66489,"LB","LB","MB",3.23066439982011e-08,4.80352340013034e-08,0.3265642,0.4945968,768.438208514333,150,0.19520112136275,"GZ55"
