"Date","Loop","Metadata file","GPS.x","GPS.y","Latitude","Longitude","Animal species","% Cover","% Leaf","% Green","% Seeds","% Forbs","Average Height","SD Height","CV Height","Average Hits/Pin","Average Leaves/Pin","Sp. Diversity"
"6/7/21","Section A, Loop 1","DSCN2749",261226,52202,0.469251593,36.85550015,"PZ",0.777777777777778,0.619047619047619,0.533333333333333,0.0357142857142857,0.2,11.0740740740741,20.8122115150733,1.87936358162869,38.4761904761905,3.71428571428571,NA
"6/7/21","Section A, Loop 1","DSCN2751",260934,52279,0.46994693,36.85287757,"GZ",0.888888888888889,0.661157024793388,0.56,0.0247933884297521,0.193333333333333,10.2592592592593,10.9248925099186,1.06488121937835,35.5833333333333,2.42424242424242,NA
"6/7/21","Section A, Loop 1","DSCN2752",258112,52097,0.46829357,36.82753472,"Ungrazed",0.964285714285714,0.67,0.537313432835821,0.02,0.00497512437810945,16.6785714285714,12.0155873191592,0.720420652968858,49.4814814814815,3.04545454545455,NA
"6/7/21","Loop 2","DSCN2740",261919,52943,0.475952892,36.86172175,"GZ",0.846153846153846,0.805194805194805,0.525641025641026,0,0.0128205128205128,6.23076923076923,4.63299205531538,0.743566626161727,21.8181818181818,1.72222222222222,NA
"6/7/21","Loop 2","DSCN2741",260446,55059,0.49507928,36.84848704,"Ungrazed",0.961538461538462,0.833333333333333,0.4609375,0.0317460317460317,0.015625,11.5,6.00832755431992,0.522463265593037,34.16,2.76315789473684,NA
"6/7/21","Loop 2","DSCN2742",260604,55684,0.500730317,36.84990416,"Ungrazed",0.92,0.839506172839506,0.505882352941176,0.0123456790123457,0.0470588235294118,6.8,5.3619026473818,0.788515095203207,22.1739130434783,2.26666666666667,NA
"6/7/21","Loop 2","DSCN2743",260987,55549,0.499510933,36.85334418,"PZ_GZ",0.846153846153846,0.8,0.506849315068493,0,0.0410958904109589,6.34615384615385,5.17642585336491,0.815679225378713,21.6363636363636,1.80645161290323,NA
"6/10/21","Loop 2","DSCN6460",261744,52572,0.472598197,36.86015115,"PZ",1,0.724137931034483,0.541095890410959,0.00689655172413793,0.00684931506849315,18.7083333333333,12.1386166630615,0.648834743682573,49.5833333333333,2.91666666666667,NA
"6/10/21","Loop 2","DSCN6461",261023,55190,0.496265344,36.85366855,"PZ_GZ",0.68,0.846153846153846,0.615384615384615,0,0,6.24,6.40494600549711,1.0264336547271,24.4705882352941,1.83333333333333,NA
"6/10/21","Loop 2","DSCN6462",260207,55936,0.503007437,36.84633806,"GZ",0.833333333333333,0.797101449275362,0.507246376811594,0.0289855072463768,0,7.41666666666667,5.31541373633378,0.716684998157363,24.7,1.89655172413793,NA
