Date,Loop,GPS_x,GPS_y,Latitude,Longitude,Location,Zebra species,Filename,Pin Number,Grass species,Green leaf,Brown leaf,Green stem,Brown stem,Seed,Max height,Forb species,Green forb,Brown forb,Forb height,Notes,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,1,Cymbo,,,,1,,36,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,1,Dig,,,,2,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,2,,,,,,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,3,Dig,4,2,,1,,10,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,4,,,,,,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,5,Inclingo,,,,2,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,6,,,,,,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,7,Es,6,2,,3,,20,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,8,Dig,4,5,,,,18,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,9,Balarias s,4,,,1,,,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,10,Cymbo,0,1,0,2,,50,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,10,Mono,0,0,0,2,,0,,,,,,
6/7/21,"Section A, Loop 1",261226,52202,0.469251593,36.85550015,Loitoiporeki,PZ,DSCN2749,10,Bal,2,0,1,0,,5,,,,,,
