"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.from.water","Distance.from.cattle","Closest.mob.size","NDVI","EVI","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses"
"6/4/21","1","DSCN2512","3","1315",0.462613257,36.84806615,"PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","0.003661803","0.006795018","240",0.4188,0.2464,"2021","6","4","13","15","","","","4"
"6/9/21","2","DSCN6199","2","1101",0.498814734,36.85239056,"Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","0.004425795","0","350",0.4318,0.2597,"2021","6","9","11","1","","","","4"
"6/9/21","2","DSCN6199","3","113",0.481462847,36.84472529,"Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","0.000748188","0.000157808","300",0.3905,0.2326,"2021","6","9","1","13","Oryx"," Impala","","4"
"6/10/21","2","DSCN6458","1","1055",0.490301121,36.85837738,"Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","0.007654224","0","200",0.414,0.2555,"2021","6","10","10","55","Oryx"," Impala","","4"
"6/11/21","2","DSCN6468","1","1120",0.497184191,36.84358289,"Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","0.000407908","0","240",0.4161,0.253,"2021","6","11","11","20","","","","3"
"6/12/21","2","DSCN6473","2","930",0.476963095,36.85777227,"Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","0.004908323","0","200",0.4889,0.2817,"2021","6","12","9","30","","","","3"
"6/12/21","2","DSCN6475","1","1006",0.499879586,36.84572777,"Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","0.00108096","0","239",0.4787,0.2968,"2021","6","12","10","6","","","","4"
"6/12/21","2","DSCN3247","1","1029",0.455600409,36.8317498,"Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","0.007197225","0","250",0.3936,0.222,"2021","6","12","10","29","","","","4"
"6/12/21","2","DSCN3247","3","1126",0.465873341,36.83619868,"Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","0.007463698","0","80",0.4083,0.2489,"2021","6","12","11","26","","","","4"
"6/14/21","2","DSCN3241","1","1127",0.501133379,36.84777045,"Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","0.0004343","0","160",0.4729,0.2856,"2021","6","14","11","27","","","","2"
