"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","QuickSpecies","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","Distance.to.mob","Closest.mob.size","Scaled.mob.size"
"6/4/21","1","DSCN2512","3","1315","0.462613257","36.84806615","PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","0.003661803","PZ","2021","6","4","13","15","","","","4","LB","LB","LB","4.31612455506095e-08","6.34874725485665e-08","0.3319787","0.5212987","","",""
"6/9/21","2","DSCN6199","2","1101","0.498814734","36.85239056","Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","0.004425795","Cattle","2021","6","9","11","1","","","","4","MB","OG","MB","2.63040587558042e-08","6.18795347570838e-08","0.3076345","0.435445","","",""
"6/9/21","2","DSCN6199","3","113","0.481462847","36.84472529","Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","0.000748188","Cattle","2021","6","9","1","13","Oryx"," Impala","","4","MB","LB","MB","3.06390821100947e-08","7.60332991084867e-08","0.4226804","0.7059097","","",""
"6/10/21","2","DSCN6458","1","1055","0.490301121","36.85837738","Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","0.007654224","Cattle","2021","6","10","10","55","Oryx"," Impala","","4","LB","LB","LB","5.07789632409924e-08","7.09298942414601e-08","0.2883983","0.4220511","","",""
"6/11/21","2","DSCN6468","1","1120","0.497184191","36.84358289","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","0.000407908","Cattle","2021","6","11","11","20","","","","3","LB","LB","LB","2.93423879810061e-08","6.6501286981231e-08","0.3658657","0.5766828","","",""
"6/12/21","2","DSCN6473","2","930","0.476963095","36.85777227","Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","0.004908323","Cattle","2021","6","12","9","30","","","","3","OG","OG","LB","3.46989339252064e-08","5.35953889244447e-08","0.3031228","0.4528236","","",""
"6/12/21","2","DSCN6475","1","1006","0.499879586","36.84572777","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","0.00108096","Cattle","2021","6","12","10","6","","","","4","LB","LB","LB","2.88656258961598e-08","6.90561298949282e-08","0.3407258","0.5275892","","",""
"6/12/21","2","DSCN3247","1","1029","0.455600409","36.8317498","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","0.007197225","Cattle","2021","6","12","10","29","","","","4","LB","LB","LB","4.45764364831203e-08","6.5921635480447e-08","0.339369","0.5513952","","",""
"6/12/21","2","DSCN3247","3","1126","0.465873341","36.83619868","Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","0.007463698","Cattle","2021","6","12","11","26","","","","4","LB","OG","OG","4.21716098825908e-08","5.24184608804818e-08","0.3162779","0.4834752","","",""
"6/14/21","2","DSCN3241","1","1127","0.501133379","36.84777045","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","0.0004343","Cattle","2021","6","14","11","27","","","","2","MB","MB","MB","3.26290985417198e-08","7.63078675407106e-08","0.3584634","0.5553489","","",""
"6/15/21","2","DSCN6973","1","930","0.477660938","36.85950232","Cattle","","full","light","no rain","Grazing","hock","green with some brown","Cynodon dactylon","Cynodon plectostachyus","Chloris roxburghiana","Cyperus rubicundus","light","","","300","","","","","","","","","","","","","0.003221681","Cattle","2021","6","15","9","30","","","","4","LB","OG","LB","4.77180830465142e-08","6.58579150434353e-08","0.3063892","0.4579987","","",""
"6/15/21","2","DSCN6974","2","1039","0.485785825","36.84534865","Cattle","","full","medium","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Digitaria macroblefara","Pennisetum mezzianum","medium","","","220","","","","","","","","","","","","","0.000246175","Cattle","2021","6","15","10","39","","","","4","LB","LB","LB","3.60651531243777e-08","6.79607281253413e-08","0.3471159","0.5369976","","",""
"6/16/21","2","DSCN7378","3","1213","0.500134224","36.85173496","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Chloris roxburghiana","Eragrostis tenuifolia","","light","","","150","","","","","","","","","","","","","0.00402267","Cattle","2021","6","16","12","13","","","","3","MB","OG","MB","3.48113781756057e-08","4.43140921763305e-08","0.3150968","0.4560394","","",""
"6/16/21","2","DSCN7379","1","1217","0.502111389","36.85056664","Cattle","","full","light","no rain","Drinking","hoof","brown with some green","Cynodon dactylon","Cynodon plectostachyus","Enteropogon macrostachyus","Microchloa kunthii","light","","","150","","","","","","","","","","","","","0.003229423","Cattle","2021","6","16","12","17","","","","4","LB","LB","LB","3.18502703209185e-08","7.26205493220584e-08","0.3096136","0.4416807","","",""
"6/16/21","2","DSCN7380","1","1257","0.494742247","36.84913502","Cattle","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Eragrostis tenuifolia","Chloris roxburghiana","Chloris virgata","light","","","200","","","","","","","","","","","","","0.000488901","Cattle","2021","6","16","12","57","","","","4","MB","MB","MB","3.96818102091164e-08","4.52487932088449e-08","0.3825924","0.5969712","","",""
"6/16/21","2","DSCN7380","2","1303","0.489298872","36.84842902","Camel","","part","no wind","no rain","Standing","hoof","brown","Cyperus teneristolon","Cynodon plectostachyus","Chloris virgata","Pennisetum stramineum","light","","","","","","","","","","","","","","","","0.001779694","Camel","2021","6","16","13","3","","","","4","OG","OG","OG","5.74994891839711e-08","5.90618471844542e-08","0.2668275","0.3927327","","",""
"6/17/21","2","DSCN7997","2","1100","0.485345348","36.85832857","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","medium","","","","","","","","","","","","","","","","0.007855531","Cattle","2021","6","17","11","0","","","","4","LB","LB","LB","2.39627640042541e-08","6.67278860027726e-08","0.3272497","0.5081877","","",""
"6/17/21","2","DSCN7998","2","1240","0.49890006","36.85149937","Cattle","","full","light","no rain","Resting","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","162","","","","","","","","","","","","","0.003549159","Cattle","2021","6","17","12","40","","","","3","OG","OG","MB","2.42043364998407e-08","5.72083265002484e-08","0.2963892","0.4142136","","",""
"6/17/21","2","DSCN7998","3","1308","0.49842216","36.84550815","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","","medium","","","240","","","","","","","","","","","","","0.001032168","Cattle","2021","6","17","13","8","","","","3","MB","LB","MB","3.68710641000825e-08","7.44687541000299e-08","0.3856348","0.6382699","","",""
"6/18/21","1","DSCN7109","3","1104","0.468435333","36.85156982","Cattle","","full","light","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Cynodon plectostachyus","Chloris roxburghiana","medium","","","240","","","","","","","","","","","","","0.001059061","Cattle","2021","6","18","11","4","","","","4","LB","MB","LB","3.91663244888052e-08","5.0580087489848e-08","0.3297601","0.495095","","",""
"6/18/21","2","DSCN7111","3","1029","0.486811836","36.8604694","Cattle","","full","no wind","no rain","Grazing","hock","brown","Cynodon plectostachyus","Microchloa kunthii","Pennisetum stramineum","Cyperus rubicundus","light","","","200","","","","","","","","","","","","","0.007293314","Cattle","2021","6","18","10","29","","","","4","OG","OG","OG","4.47582268971733e-08","6.09540808957032e-08","0.3143261","0.4865062","","",""
"6/18/21","2","DSCN7112","2","1052","0.500591593","36.84561668","Cattle","","full","light","no rain","Grazing","hoof","brown","Microchloa kunthii","Cynodon plectostachyus","Cyperus rubicundus","Pennisetum stramineum","light","","","300","","","","","","","","","","","","","0.000739505","Cattle","2021","6","18","10","52","Oryx","","","4","OG","LB","LB","3.48785068485423e-08","7.66947298492842e-08","0.3471527","0.5537397","","",""
"6/18/21","2","DSCN7113","1","1121","0.481442805","36.84456876","Cattle","","full","no wind","no rain","Walking","hoof","brown","Chloris virgata","Pennisetum stramineum","Cynodon dactylon","Eragrostis tenuifolia","light","","","300","","","","","","","","","","","","","0.00059091","Cattle","2021","6","18","11","21","","","","4","MB","MB","MB","4.36671346248275e-08","7.14569796250822e-08","0.4226804","0.7059097","","",""
"6/18/21","2","DSCN7113","2","1127","0.472066786","36.85210161","Cattle","","full","no wind","no rain","Walking","hoof","brown","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","Digitaria macroblefara","light","","","100","","","","","","","","","","","","","0.002044934","Cattle","2021","6","18","11","27","","","","4","LB","LB","LB","4.28542762950923e-08","5.41896722963716e-08","0.3495221","0.5449493","","",""
"6/21/21","1","DSCN3627","1","1030","0.462287155","36.84102734","Cattle","","no sun","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Eragrostis tenuifolia","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","0.002240234","Cattle","2021","6","21","10","30","","","","4","LB","LB","LB","3.24008896226466e-08","6.55420846250091e-08","0.3299544","0.5096289","","",""
"6/21/21","2","DSCN7107","1","1002","0.468119882","36.85876544","Cattle","","no sun","light","no rain","Grazing","hoof","green with some brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","","medium","","","120","","","","","","","","","","","","","0.00615795","Cattle","2021","6","21","10","2","","","","3","LB","LB","OG","3.60648203234795e-08","3.70057723247348e-08","0.3447322","0.5295072","","",""
"6/21/21","2","DSCN7108","1","1034","0.487642345","36.86004173","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Cyperus rubicundus","Pennisetum mezzianum","","light","","","162","","","","","","","","","","","","","0.008092981","Cattle","2021","6","21","10","34","","","","3","OG","OG","OG","4.77082969240155e-08","7.09772019245269e-08","0.3147316","0.4827711","","",""
"6/21/21","2","DSCN7108","3","1129","0.487708951","36.84743209","Cattle","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum mezzianum","","light","","","220","","","","","","","","","","","","","0.002360377","Cattle","2021","6","21","11","29","","","","3","LB","LB","LB","2.83520875005757e-08","5.7063648699814e-08","0.3307453","0.5199349","","",""
"6/22/21","1","DSCN8000","1","927","0.481162289","36.84088194","MC","","full","light","no rain","Grazing","hock","brown with some green","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","","medium","","","120","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","0.000782081","Cattle","2021","6","22","9","27","","","","3","LB","MB","LB","5.70851003180586e-08","6.31153213209878e-08","0.3987697","0.7089872","","",""
"6/22/21","1","DSCN8000","2","951","0.478734676","36.84456276","MC","","full","","","Grazing","hock","brown with some green","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum mezzianum","medium","","","100","","","","","","","","","","","","Ngaremata Dam Area, Mpala cattle","0.000110192","Cattle","2021","6","22","9","51","","","","4","LB","LB","LB","4.16144533762108e-08","6.55677673759946e-08","0.3617486","0.5949492","","",""
"6/22/21","1","DSCN8000","3","956","0.472788775","36.84103295","MC","","full","light","no rain","Grazing","belly","brown with some green","Enteropogon macrostachyus","Cenchrus ciliaris","Cynodon plectostachyus","Chloris roxburghiana","medium","","","150","","","","","","","","","","","","Rongai Area, Mpala Cattle","0.002964638","Cattle","2021","6","22","9","56","","","","4","LB","LB","LB","3.50250331234198e-08","6.04662031245871e-08","0.3519","0.5486568","","",""
"6/22/21","1","DSCN8002","3","1139","0.472049501","36.85156438","CC","","full","light","no rain","Grazing","hock","","Cenchrus ciliaris","Pennisetum stramineum","Pennisetum mezzianum","Chloris roxburghiana","thick","","","160","","","","","","","","","","","","","0.001507748","Cattle","2021","6","22","11","39","","","","4","LB","LB","LB","4.26533338008197e-08","6.18095448011345e-08","0.3283019","0.5045623","","",""
"6/23/21","1","DSCN8262","2","1159","0.460097277","36.84117812","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cenchrus ciliaris","Cymbopogon pospischilii","Enteropogon macrostachyus","light","","","140","","","","","","","","","","","","","0.001692163","Cattle","2021","6","23","11","59","","","","4","LB","MB","LB","4.53115541296695e-08","4.90822011268099e-08","0.3783411","0.6418887","","",""
"6/23/21","1","DSCN8258","1","940","0.486164181","36.86209384","Cattle","","part","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","Lima 5","0.005681484","Cattle","2021","6","23","9","40","","","","4","OG","OG","OG","2.14014603606873e-08","6.71818693595386e-08","0.2909699","0.4382872","","",""
"6/23/21","2","DSCN8258","2","942","0.488524586","36.86186387","Cattle","","part","light","no rain","Grazing","hoof","brown","Pennisetum stramineum","Cynodon nlemfuensis","Pennisetum mezzianum","Cynodon plectostachyus","light","","","105","","","","","","","","","","","","Lima 5","0.006325493","Cattle","2021","6","23","9","42","","","","4","OG","OG","OG","4.15777234960432e-08","7.39420274947998e-08","0.3015031","0.4622162","","",""
"6/23/21","2","DSCN8258","3","955","0.497832558","36.86732894","CC","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","50","","","","","","","","","","","","","0.003835872","Cattle","2021","6","23","9","55","","","","4","OG","OG","OG","4.38640077647933e-08","4.91716581637786e-08","0.3196005","0.4701849","","",""
"6/23/21","2","DSCN8258","3","955","0.497832558","36.86732894","Comm_Camel","","part","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","Eragrostis tenuifolia","light","","","20","","","","","","","","","","","","","0.003835872","Camel","2021","6","23","9","55","","","","4","OG","OG","OG","4.38640077647933e-08","4.91716581637786e-08","0.3196005","0.4701849","","",""
"6/23/21","2","DSCN8259","1","1002","0.485628297","36.86177069","ZC","","part","light","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Pennisetum stramineum","Enteropogon macrostachyus","light","","","160","","","","","","","","","","","","","0.005535281","Camel","2021","6","23","10","2","","","","4","OG","OG","OG","2.82777803096067e-08","4.70367133080978e-08","0.2950224","0.454755","","",""
"6/23/21","2","DSCN8259","3","1017","0.501393021","36.85091115","CKC","","part","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Cynodon nlemfuensis","Enteropogon macrostachyus","Pennisetum stramineum","light","","","80","","","","","","","","","","","","","0.003585661","Cattle","2021","6","23","10","17","","","","4","LB","LB","MB","3.19901415401091e-08","8.00364105415342e-08","0.3012106","0.4355437","","",""
"6/23/21","2","DSCN8260","1","1029","0.498397601","36.84664488","MC","","full","no wind","no rain","Walking","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","Enteropogon macrostachyus","light","","","100","","","","","","","","","","","","","0.001331184","Cattle","2021","6","23","10","29","Impala","","","4","LB","OG","LB","1.93201092018198e-08","7.43146982003027e-08","0.3153602","0.471066","","",""
"6/24/21","1","DSCN5568","3","1240","0.465796213","36.8498703","CC","","full","light","no rain","Grazing","hoof","brown","Cynodon plectostachyus","Pennisetum stramineum","Enteropogon macrostachyus","Microchloa kunthii","light","","","100","","","","","","","","","","","","","0.001365021","Cattle","2021","6","24","12","40","","","","4","OG","OG","OG","2.30444749694403e-08","7.41609319687485e-08","0.26887","0.3721103","","",""
"6/24/21","2","DSCN5581","1","1001","0.491447305","36.85606796","CKC","","full","light","no rain","Grazing","hock","brown","Cynodon nlemfuensis","Cynodon plectostachyus","Pennisetum stramineum","Pennisetum mezzianum","light","","","170","","","","","","","","","","","","","0.005802779","Cattle","2021","6","24","10","1","","","","4","OG","OG","OG","2.07468106250182e-08","7.66906656250888e-08","0.2690941","0.3907157","","",""
"6/25/21","1","DSCN5579","1","1025","0.473562515","36.8365717","MC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","Pennisetum stramineum","Chloris roxburghiana","light","","","345","","","","","","","","","","","","","0.003530933","Cattle","2021","6","25","10","25","","","","4","LB","OG","OG","3.91528392250727e-08","6.22903042247478e-08","0.3735962","0.6018816","","",""
"6/25/21","1","DSCN5579","2","1039","0.480249283","36.84417399","CC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum stramineum","Pennisetum mezzianum","","medium","","","20","","","","","","","","","","","","","2.83e-05","Cattle","2021","6","25","10","39","","","","3","MB","LB","MB","2.79874905890529e-08","5.01790035890671e-08","0.3888594","0.6695898","","",""
"6/28/21","1","DSCN5580","3","1215","0.462005132","36.84030864","Cattle","","full","strong","no rain","Grazing","belly","brown with some green","Cenchrus ciliaris","Pennisetum stramineum","Cynodon nlemfuensis","Enteropogon macrostachyus","light","","","200","","","","","","","","","","","","Lima 3","0.002890965","Cattle","2021","6","28","12","15","","","","4","OG","OG","LB","5.11375310239923e-08","7.40482330248567e-08","0.288707","0.426296","","",""
"6/28/21","2","DSCN7830","2","1032","0.494227009","36.8411039","Cattle","","full","medium","no rain","Grazing","hock","brown","Pennisetum mezzianum","Pennisetum stramineum","Themeda triandra","Cynodon plectostachyus","light","","","344","","","","","","","","","","","","Lima 1","0.002092155","Cattle","2021","6","28","10","32","","","","4","LB","LB","LB","2.61129556808787e-08","7.62828566794893e-08","0.3261918","0.5039305","","",""
"6/29/21","1","DSCN0531","1","1028","0.448910279","36.84308414","CC","","full","light","no rain","Grazing","hoof","brown","Cynodon nlemfuensis","Pennisetum mezzianum","","","medium","","","300","","","","","","","","","","","","Lol Patai","0.001994742","Cattle","2021","6","29","10","28","","","","2","LB","LB","MB","4.28607318402393e-08","4.64710008413348e-08","0.3347814","0.5415971","","",""
"6/29/21","1","DSCN0531","2","1037","0.453009512","36.8404217","CC","","full","medium","no rain","Grazing","hoof","brown","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum mezzianum","Cynodon plectostachyus","medium","","","140","","","","","","","","","","","","Lelasung'e","0.001746027","Cattle","2021","6","29","10","37","","","","4","LB","MB","MB","3.3672755743532e-08","4.03883013447911e-08","0.3432343","0.5481377","","",""
