"Date","Loop","Whitesheet.Filename","Whitesheet.Entry.Number","Time","Latitude","Longitude","Species","Multispecies","Sun","Wind","Rain","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Grass.spp.4","Bush.type","Photos.begin","Photos.end","Total.animals","Male..T.","Male..B.","Female..NL.","Female..L.","Female..P.","X2.year.old","X1.year.old","X6.12.months.old","X3.6.months.old","X1.3.months.old","X0.1.months.old","Notes","Distance.to.water","Days","QuickSpecies","Identifier","Year","Month","Day","Hour","Minute","Other.species.1","Other.species.2","Other.species.3","Number.grasses","GPS.x","GPS.y","Primary.habitat","Secondary.habitat","Tertiary.habitat","Distance.secondary","Distance.tertiary","NDVI","EVI","X.Cover","X.Leaf","X.Green","X.Seeds","X.Forbs","Average.Height","SD.Height","CV.Height","Average.Hits.Pin","Average.Leaves.Pin","Sp.Diversity","Distance.from.mob","Closest.mob.size","Approximate.density","Cattle.density","Distance.from.herd","Closest.herd.size","Distance.from.herd.opp.sp","Closest.herd.size.opp.sp","Distance.from.opp.sp","Closest.opp.sp.size","Random.NDVI"
"6/4/21","1","DSCN2512","3","1315","0.462613257","36.84806615","PZ","0","full","no wind","no rain","Standing","hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","Chloris roxburghiana","light","","","14","","","","","","","","","","","","No photos","408.173856804","2","PZ","PZ18","2021","6","4","13","15","","","","4","260398","51468","OG","OG","OG","23.1703289198055","28.0636156132853","0.2739","0.1548","0.84","0.81981981981982","0.447368421052632","0.036036036036036","0.0263157894736842","14.16","14.9740887313163","1.05749214204211","44.5714285714286","2.75757575757576","","","","15.9154943091895","0","21.746990767871","10","","","21.746990767871","1","0.35599110375"
"6/9/21","2","DSCN6199","2","1101","0.498814734","36.85239056","Cattle","","full","medium","no rain","Standing","hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","Cymbopogon pospischilii","light","","","350","","","","","","","","","","","","","493.33451706","7","Cattle","CT1","2021","6","9","11","1","","","","4","260880.79","55472.02971","MB","MB","MB","18.1257262974875","27.5484990790273","0.4487","0.2057","1","1","0.333333333333333","0","0","7","","","20","1.5","","","","111.408460164327","27.8521150410817","","","","","","","0.343935550625001"
"6/9/21","2","DSCN6199","3","113","0.481462847","36.84472529","Cattle","","full","medium","no rain","Grazing","hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","Enteropogon macrostachyus","light","","","","","","","","","","","","","","","","83.399019984","7","Cattle","CT2","2021","6","9","1","13","Oryx"," Impala","","4","260026.6438","53553.04142","MB","MB","MB","400.315191732578","401.594507480379","0.3934","0.1572","0.72","0.777777777777778","0.48936170212766","0.0444444444444444","0.0425531914893617","4.8","4.76095228569523","0.99186505951984","18.5555555555556","1.59090909090909","","","","0","0","","","","","","","0.343935550625001"
"6/10/21","2","DSCN6458","1","1055","0.490301121","36.85837738","Cattle","","full","light","no rain","Walking","hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","Pennisetum stramineum","medium","","","200","","","","","","","","","","","","","853.201040832","8","Cattle","CT3","2021","6","10","10","55","Oryx"," Impala","","4","261547.1107","54530.14033","MB","MB","MB","25.1174432634537","29.6512053561581","0.3298","0.1714","0.739130434782609","0.511111111111111","0.41304347826087","0","0.0217391304347826","6.30434782608696","6.16761912667276","0.978311999403265","22.4705882352941","1.35294117647059","","","","63.6619772367581","15.9154943091895","","","","","","","0.341524440000001"
"6/11/21","2","DSCN6468","1","1120","0.497184191","36.84358289","Cattle","","full","light","no rain","Grazing","hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","","medium","","","240","","","","","","","","","","","","","45.468688944","9","Cattle","CT4","2021","6","11","11","20","","","","3","259900","55292","OG","OG","OG","99.0669992177888","116.820438620732","0.3121","0.1704","0.84","0.695652173913043","0.442307692307692","0.0217391304347826","0.115384615384615","10.88","11.2669132122926","1.03556187612983","30.8571428571429","1.39130434782609","","","","76.3943726841098","19.0985931710274","","","","","","","0.339113329375002"
"6/12/21","2","DSCN6473","2","930","0.476963095","36.85777227","Cattle","","full","no wind","no rain","Grazing","hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","","light","","","200","","","","","","","","","","","","","547.120948164","10","Cattle","CT5","2021","6","12","9","30","","","","3","261479.2636","53054.87358","MB","OG","LB","110.05361147233","113.79045684814","0.3064","0.1646","0.791666666666667","0.74468085106383","0.489795918367347","0.0319148936170213","0.0408163265306122","11.25","15.4053914898818","1.36936813243394","38.7368421052632","2.8","","","","63.6619772367581","15.9154943091895","","","","","","","0.336702218750002"
"6/12/21","2","DSCN6475","1","1006","0.499879586","36.84572777","Cattle","","part","no wind","no rain","Grazing","hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","Cynodon plectostachyus","light","","","239","","","","","","","","","","","","","120.49244928","10","Cattle","CT6","2021","6","12","10","6","","","","4","260138.9298","55590.05536","LB","LB","LB","18.8718159589468","29.6446380713215","0.2971","0.1671","0.84","0.695652173913043","0.442307692307692","0.0217391304347826","0.115384615384615","10.88","11.2669132122926","1.03556187612983","30.8571428571429","1.39130434782609","","","","76.076062797926","19.0190156994815","","","","","","","0.336702218750002"
"6/12/21","2","DSCN3247","1","1029","0.455600409","36.8317498","Cattle","","full","light","no rain","Grazing","hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","Chloris roxburghiana","medium","","","250","","","","","","","","","","","","Rongai Area","802.2602763","10","Cattle","CT7","2021","6","12","10","29","","","","4","258580.924","50692.86824","OG","LB","OG","141.274655761771","156.85417176702","0.2942","0.1703","0.666666666666667","0.768292682926829","0.474747474747475","0","0.171717171717172","7.70833333333333","10.2298759679109","1.32711904448574","35.5","5.25","","","","79.5774715459477","26.2605656101627","","","","","","","0.336702218750002"
"6/12/21","2","DSCN3247","3","1126","0.465873341","36.83619868","Cattle","","full","light","no rain","Grazing","belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","Chloris roxburghiana","medium","","","80","","","","","","","","","","","","Rongai Area","831.963488664","10","Cattle","CT8","2021","6","12","11","26","","","","4","259076.6603","51829","MB","MB","MB","175.819663318287","178.576542138454","0.2716","0.1405","0.833333333333333","0.641025641025641","0.521739130434783","0.0384615384615385","0.152173913043478","8.625","11.0564264216514","1.28190451265524","29.9","2.17391304347826","","","","25.4647908947033","26.2605656101627","","","","","","","0.336702218750002"
"6/14/21","2","DSCN3241","1","1127","0.501133379","36.84777045","Cattle","","full","light","no rain","Grazing","hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","","open grassland","","","160","","","","","","","","","","","","","48.4105524","12","Cattle","CT9","2021","6","14","11","27","","","","2","260366.4279","55728.66044","MB","MB","MB","20.0908639187608","30.7852973250031","0.297","0.1642","0.88","0.788461538461538","0.415094339622642","0","0.0188679245283019","4.36","2.78208554864871","0.638093015745117","14.7272727272727","1.41379310344828","","","","50.9295817894065","12.7323954473516","","","","","","","0.331879997500002"
