"Multispecies","Photos.begin","Photos.end","Mpala.North","Notes","Latitude","Longitude","Year","Month","Day","Hour","Minute","Space","Equus","Species.binomial","alive","Space.1","Adult","Activity","Grass.height","Grass.color","Grass.spp.1","Grass.spp.2","Grass.spp.3","Bush.type","Space.2","Other.species.1","Other.species.2","Other.species.3","Rain","Sun","Wind","Space.3","Space.4","Total.zebras","Number.grasses","Space.5","Space.6","Space.7","Number.grazing","Space.8","Number.standing","Number.walking","Space.9","Number.drinking","Space.10","Space.11","Space.12","Number.resting","Space.13","Space.14","Whitesheet.Filename"
"0","","","Mpala.North","No photos","0.462613257","36.84806615","2021","6","4","13","15","","Equus","quagga","alive","","Adult","Standing","< hock","brown with some green","Pennisetum stramineum","Pennisetum mezzianum","Cenchrus ciliaris","light","","","","","no rain","full","no wind","","","14","4","","","","","","14","","","","","","","","","","DSCN2512"
"","","","Mpala.North","","0.498814734","36.85239056","2021","6","9","11","1","","Equus","Cattle","alive","","Adult","Standing","< hoof","brown with some green","Cynodon plectostachyus","Digitaria macroblefara","Cenchrus ciliaris","light","","","","","no rain","full","medium","","","350","4","","","","","","350","","","","","","","","","","DSCN6199"
"","","","Mpala.North","","0.481462847","36.84472529","2021","6","9","1","13","","Equus","Cattle","alive","","Adult","Grazing","< hock","green","Pennisetum stramineum","Pennisetum mezzianum","Cynodon plectostachyus","light","","Oryx"," Impala","","no rain","full","medium","","","","4","","","","","","","","","","","","","","","","DSCN6199"
"","","","Mpala.North","","0.490301121","36.85837738","2021","6","10","10","55","","Equus","Cattle","alive","","Adult","Walking","< hoof","brown with some green","Cynodon plectostachyus","Cynodon dactylon","Enteropogon macrostachyus","medium","","Oryx"," Impala","","no rain","full","light","","","200","4","","","","","","","200","","","","","","","","","DSCN6458"
"","","","Mpala.North","","0.497184191","36.84358289","2021","6","11","11","20","","Equus","Cattle","alive","","Adult","Grazing","< hoof","green with some brown","Cynodon nlemfuensis","Cynodon dactylon","Pennisetum stramineum","medium","","","","","no rain","full","light","","","240","3","","","","240","","","","","","","","","","","","DSCN6468"
"","","","Mpala.North","","0.476963095","36.85777227","2021","6","12","9","30","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown with some green","Eragrostis tenuifolia","Pennisetum stramineum","Themeda triandra","light","","","","","no rain","full","no wind","","","200","3","","","","200","","","","","","","","","","","","DSCN6473"
"","","","Mpala.North","","0.499879586","36.84572777","2021","6","12","10","6","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown","Pennisetum stramineum","Chloris roxburghiana","Cenchrus ciliaris","light","","","","","no rain","part","no wind","","","239","4","","","","239","","","","","","","","","","","","DSCN6475"
"","","","Mpala.North","Rongai Area","0.455600409","36.8317498","2021","6","12","10","29","","Equus","Cattle","alive","","Adult","Grazing","< hock","brown with some green","Pennisetum mezzianum","Cynodon plectostachyus","Pennisetum stramineum","medium","","","","","no rain","full","light","","","250","4","","","","250","","","","","","","","","","","","DSCN3247"
"","","","Mpala.North","Rongai Area","0.465873341","36.83619868","2021","6","12","11","26","","Equus","Cattle","alive","","Adult","Grazing","< belly","brown with some green","Bothriochloa insculpta","Eragrostis tenuifolia","Cynodon plectostachyus","medium","","","","","no rain","full","light","","","80","4","","","","80","","","","","","","","","","","","DSCN3247"
"","","","Mpala.North","","0.501133379","36.84777045","2021","6","14","11","27","","Equus","Cattle","alive","","Adult","Grazing","< hoof","brown with some green","Cynodon nlemfuensis","Cynodon plectostachyus","","open grassland","","","","","no rain","full","light","","","160","2","","","","160","","","","","","","","","","","","DSCN3241"
