"Identifier","Days","Species","Total.sitings","Total.herds","Mean.herd.size","Sd.herd.size","Min.herd.size","Med.herd.size","Max.herd.size","Upper.herd.size","Mean.distance.from.herd","Sd.distance.from.herd","Min.distance.from.herd","Med.distance.from.herd","Max.distance.from.herd","Upper.distance.from.herd","Mean.distance.from.opp.herd","Sd.distance.from.opp.herd","Min.distance.from.opp.herd","Med.distance.from.opp.herd","Max.distance.from.opp.herd","Upper.distance.from.opp.herd","Mean.distance.from.mob","Sd.distance.from.mob","Min.distance.from.mob","Med.distance.from.mob","Max.distance.from.mob","Upper.distance.from.mob","Mean.cattle.density","Sd.cattle.density","Min.cattle.density","Med.cattle.density","Max.cattle.density","Upper.cattle.density","Mean.distance.to.water","Sd.distance.to.water","Min.distance.to.water","Med.distance.to.water","Max.distance.to.water","Upper.distance.to.water","Mean.midday.distance.to.water","Sd.midday.distance.to.water","Min.midday.distance.to.water","Med.midday.distance.to.water","Max.midday.distance.to.water","Upper.midday.distance.to.water","Mean.NDVI","Sd.NDVI","Min.NDVI","Med.NDVI","Max.NDVI","Upper.NDVI","Mean.EVI","Sd.EVI","Min.EVI","Med.EVI","Max.EVI","Upper.EVI","Mean.X.cover","Sd.X.cover","Min.X.cover","Med.X.cover","Max.X.cover","Upper.X.cover","Mean.X.green","Sd.X.green","Min.X.green","Med.X.green","Max.X.green","Upper.X.green","Mean.grass.height","Sd.grass.height","Mean.density","Sd.density","Total.cattle","X.Standing","X.Grazing","X.Walking","X.Drinking","X.Resting","X.light","X.medium","X.open grassland","X.thick","X.OG","X.MB","X.LB","X.hock","X.hoof","X.belly","X.Lh","X.Combined","Exp.1","Exp.2","Random.NDVI"
"PZ1",2,"PZ",238,36,13.2222222222222,9.65008720201719,1,11,36,17,321.185905194964,228.195421754417,21.746990767871,265.791495302931,857.914366350648,450.452666246376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3909.88563455642,902.420448727559,2519.92913431776,3857.72378448008,5851.40099170994,4185.26669308242,3961.65693691373,816.069484962513,2664.94166567868,3905.98642077242,5851.40099170994,4182.15303094398,0.306877777777778,0.0320039989331399,0.2533,0.29815,0.3761,0.32775,0.149566666666667,0.0230690523531113,0.1197,0.1441,0.2022,0.1548,0.798831908831909,0.127594069156315,0.52,0.833333333333333,1,0.846153846153846,0.406691724650946,0.129827358733263,0.175,0.447368421052632,0.56,0.525641025641026,14.5267521367521,9.73658824838439,20.1419422424076,13.2749772465832,0,0.222222222222222,0.388888888888889,0.333333333333333,0.0555555555555556,0,0.5,0.333333333333333,0.0555555555555556,0.111111111111111,0.666666666666667,0.222222222222222,0.111111111111111,0.5,0.222222222222222,0.277777777777778,0,0.333333333333333,"Before","Before",0.35410766375
"GZ1",1,"GZ",120,36,6.66666666666667,5.48795472456028,1,5.5,20,8,369.105879061177,308.857723104349,21.746990767871,305.226155659735,1233.02425595879,472.222582432539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2794.96143106662,1169.76889973542,494.692452965441,3030.59578695622,4542.79720798622,3703.5425514124,2763.11339391876,1340.186501172,494.692452965441,2790.69776701274,4542.79720798622,3807.33824390847,0.338244444444444,0.0533203550385583,0.2739,0.3249,0.456,0.3761,0.154677777777778,0.0305452712342065,0.1003,0.1463,0.2126,0.1762,0.823739316239316,0.113950805327253,0.52,0.836666666666666,1,0.88,0.38394897506113,0.137122421320582,0.122448979591837,0.422314347512618,0.541095890410959,0.505882352941176,11.8133262108262,9.06375244048182,17.7546180960292,14.1127002704183,0,0.111111111111111,0.555555555555556,0.222222222222222,0.111111111111111,0,0.611111111111111,0.388888888888889,0,0,0.333333333333333,0.444444444444444,0.222222222222222,0.388888888888889,0.222222222222222,0.333333333333333,0,0.333333333333333,"Before","Before",0.356427844374999
"PZ2",5,"PZ",134,27,8.375,3.63088602593545,2,7.5,16,9.25,467.945818774735,406.918638011613,67.155807156563,342.989057914369,1627.96757173272,621.866440464767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3635.78209772087,1724.2091053213,547.73149495243,3880.19269426997,6260.08484852193,4646.15556871274,3320.1349252979,1697.81351078775,547.73149495243,3854.52534879899,5833.14489813037,4537.86844234162,0.3388875,0.0546814273771269,0.2728,0.32755,0.4487,0.374325,0.16094375,0.0275504136387581,0.1115,0.16085,0.2057,0.17345,0.831708472686734,0.0838416514411504,0.68,0.833333333333333,1,0.852222222222222,0.444886703707578,0.0980040135404891,0.258278145695364,0.454152960526316,0.573170731707317,0.521739130434783,12.1973550724638,6.70649901930429,8.11690209768666,4.55379719781178,0,0.125,0.625,0.125,0,0.125,0.125,0.625,0.1875,0,0.625,0.25,0.125,0.375,0.375,0.25,0,0.125,"Before","Before",0.347147121875
"GZ2",5,"GZ",65,27,5.90909090909091,5.75246982529323,1,4,21,8,655.742395083534,593.928159153167,67.155807156563,498.599508541223,1953.42500546756,814.40390216943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3326.22298322396,1501.77358116089,833.022555196043,3128.32358077389,6260.08484852193,4089.11851080911,2294.50345068755,1264.70870688638,833.022555196043,2241.43785504739,3862.11553745938,2883.4804789519,0.353672727272727,0.0453781685595417,0.2854,0.3577,0.4487,0.3725,0.164972727272727,0.027845397857064,0.1344,0.1543,0.2149,0.1789,0.811064491064491,0.104931873955075,0.6,0.833333333333333,1,0.863076923076923,0.416946657895403,0.118708368453065,0.267605633802817,0.48936170212766,0.56,0.521739130434783,7.5290934990935,3.76738102209991,6.56875856033822,4.36275657102798,0,0.181818181818182,0.454545454545455,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.545454545454545,0.363636363636364,0,0.454545454545455,0.545454545454545,0,0.363636363636364,0.545454545454545,0.0909090909090909,0,0.181818181818182,"Before","Before",0.347147121875
"PZ3",7,"PZ",29,10,9.66666666666667,6.02771377334171,4,9,16,12.5,1616.57280665901,995.162894538819,1033.97377041636,1050.09440544822,2765.65024411245,1907.87232478034,NA,NA,NA,NA,NA,NA,1606.35566614986,603.073415147653,910.033675252053,1947.49471016528,1961.53861303226,1954.51666159877,10.6103295394597,9.18881492369652,0,15.9154943091895,15.9154943091895,15.9154943091895,2950.03456110492,1599.2062386257,1106.40106650998,3781.17470246085,3962.52791434394,3871.8513084024,3781.17470246085,NA,3781.17470246085,3781.17470246085,3781.17470246085,3781.17470246085,0.324666666666667,0.0392097351857078,0.2981,0.3062,0.3697,0.33795,0.1618,0.00401497197997694,0.1572,0.1636,0.1646,0.1641,0.819259259259259,0.163983337505442,0.68,0.777777777777778,1,0.888888888888889,0.563271279709636,0.0452980588930216,0.533333333333333,0.541095890410959,0.615384615384615,0.578240252897787,12.0074691358025,6.28635457031512,4.45633840657307,1.38748062660507,550,0.333333333333333,0.666666666666667,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0.666666666666667,0.333333333333333,0,0,0.666666666666667,"Before","Before",0.342506760625
"CT1",7,"Cattle",550,3,275,106.066017177982,200,275,350,312.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5892031167571,13.9733447789266,0,15.9154943091895,27.8521150410817,21.8838046751356,1787.88547326466,815.669390645289,882.750304073973,2014.92190933221,2465.9842063878,2240.45305786001,882.750304073973,NA,882.750304073973,882.750304073973,882.750304073973,882.750304073973,0.390633333333333,0.0594982632799759,0.3298,0.3934,0.4487,0.42105,0.1781,0.0249345142322845,0.1572,0.1714,0.2057,0.18855,0.819710144927536,0.15642831350264,0.72,0.739130434782609,1,0.869565217391304,0.411912837907288,0.078020328939716,0.333333333333333,0.41304347826087,0.48936170212766,0.451202590194265,6.03478260869565,1.12449946857276,58.3568124670284,55.8933791157065,550,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.666666666666667,0.333333333333333,0,0,0,1,0,0.333333333333333,0.666666666666667,0,0,0,"Before","Before",0.342506760625
"GZ3",7,"GZ",52,10,7.42857142857143,7.63450812336422,1,3,18,14,801.506508823832,392.70773440396,227.462008448281,1033.97377041636,1050.09440544822,1042.03408793229,NA,NA,NA,NA,NA,NA,1130.90923932759,814.21841060778,0,1048.76139721717,1947.49471016528,1891.30644210516,16.483904820232,12.4618954426374,0,15.9154943091895,27.8521150410817,27.8521150410817,1577.65145521596,1424.77449320906,144.798419967956,991.40975463662,3962.52791434394,2161.61960293706,513.774362020965,521.810781440754,144.798419967956,513.774362020965,882.750304073973,698.262333047469,0.367314285714286,0.0641950784347063,0.2963,0.3697,0.4487,0.4196,0.174614285714286,0.0234561597149113,0.143,0.1681,0.2057,0.19185,0.791037851037851,0.114289745084048,0.68,0.777777777777778,1,0.83974358974359,0.464681754211479,0.177969662025496,0.122448979591837,0.525641025641026,0.615384615384615,0.574358974358974,6.96592999593,2.01924413631454,4.31991988392287,2.45777795424867,550,0.142857142857143,0.714285714285714,0.142857142857143,0,0,0.857142857142857,0.142857142857143,0,0,0.428571428571429,0.142857142857143,0.428571428571429,0.285714285714286,0.571428571428571,0,0,0.285714285714286,"Before","Before",0.342506760625
"PZ4",9,"PZ",75,19,7.5,3.40750805004348,3,8,15,8,956.153154330596,789.627490359977,190.505402607956,668.432806195714,2840.37333430659,1271.75648559181,NA,NA,NA,NA,NA,NA,1183.30760074303,863.90674341364,380.592055853684,1079.28104740295,3515.71554252064,1182.00340787627,17.5627479701906,6.6884064005327,0,19.0588044352545,26.2605656101627,19.0985931710274,2006.50097380504,1885.61331233264,285.000558105035,959.605082344465,5602.45267321244,3550.46116664206,1948.05909271025,2127.34124218738,380.974100607793,878.482782984391,5602.45267321244,2000.48265188148,0.3093,0.0219708898317751,0.2748,0.3018,0.3391,0.327075,0.1707,0.0132875881934985,0.1584,0.16385,0.2004,0.1789,0.811504273504274,0.112992359554028,0.68,0.777777777777778,1,0.842948717948718,0.408764357257082,0.13801722513857,0.175,0.457506290187307,0.541666666666667,0.526811594202898,7.97909686609687,2.05129168774996,5.06112719032227,2.7564402736584,1009,0.2,0.3,0.3,0,0.2,0.6,0.1,0.3,0,0.4,0.5,0.1,0.2,0.7,0,0,0.2,"Before","Before",0.337866399375001
"CT2",9,"Cattle",1009,5,201.8,70.7191628909732,80,239,250,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3108468800048,4.69722835860836,15.9154943091895,19.0985931710274,26.2605656101627,26.2605656101627,2863.75171018152,2226.94803128377,426.33364951968,3230.19147466942,5557.36411161413,4329.02139186169,2552.43465755219,2512.47305439262,775.847923242693,2552.43465755219,4329.02139186169,3440.72802470694,0.29628,0.0155466073469423,0.2716,0.2971,0.3121,0.3064,0.16258,0.012577638888122,0.1405,0.1671,0.1704,0.1703,0.794333333333333,0.0741582392215755,0.666666666666667,0.833333333333333,0.84,0.84,0.474179581632998,0.033681366570214,0.442307692307692,0.474747474747475,0.521739130434783,0.489795918367347,9.86866666666667,1.59431951697965,64.234935031889,22.5106086908386,1009,0,1,0,0,0,0.4,0.6,0,0,0.4,0.4,0.2,0.2,0.6,0.2,0,0,"Before","Before",0.337866399375001
"GZ4",9,"GZ",62,19,6.88888888888889,5.06074215022966,2,5,19,8,858.505744139711,397.066016110952,190.505402607956,698.974846500758,1431.96691829721,1161.3224846415,NA,NA,NA,NA,NA,NA,975.749622556853,489.124122885356,237.921310185572,1084.92906078412,1886.05441577285,1222.5649056474,19.8678420626382,7.6567216706338,6.36619772367581,19.0985931710274,34.934510008671,19.0985931710274,1849.54785791501,1283.00100340606,380.974100607793,1451.88425538986,4563.65864548366,2467.73445994273,868.184270039018,482.143410542013,380.974100607793,878.482782984391,1345.09592652487,1111.78935475463,0.304766666666667,0.0188413109947265,0.2734,0.3013,0.3391,0.312,0.161455555555556,0.00899070507678779,0.1447,0.1604,0.1797,0.1634,0.754757834757835,0.0940283986987578,0.6,0.8,0.846153846153846,0.833333333333333,0.457737061980659,0.109915266624751,0.269230769230769,0.507246376811594,0.541666666666667,0.541666666666667,7.38531339031339,1.67528927446939,4.81001605788839,3.2361505095352,1009,0,0.444444444444444,0.333333333333333,0,0,0.444444444444444,0.222222222222222,0.222222222222222,0,0.333333333333333,0.222222222222222,0.444444444444444,0.111111111111111,0.444444444444444,0.111111111111111,0,0.222222222222222,"Before","Before",0.337866399375001
