GPS.x,GPS.y,Latitude,Longitude
259741.998,50246.4492,,
259719.772,50522.6047,,
260625.848,51099.7365,,
261009,52658,,
261028.474,52440.5,,
261384.623,52670.1531,,
261839.163,57713,,
261839.163,57713,,
262162.001,58106.7246,,
262730.427,58402.3851,,
262730.427,58402.3851,,
262676,56222,,
262676,56222,,
263083.927,56346.4075,,
262496.79,55454.7287,,
262442.329,55425.8987,,
261850.104,57090.7237,,
262220.782,57702.9317,,
261259.629,54939.9495,,
261554.785,55534,,
261554.785,55534,,
261843.261,53409.8092,,
261880.495,52595.4375,,
262357.468,52616.9223,,
262822.782,52819.0683,,
263224.928,52813.1261,,
264710.713,53228.1925,,
264882.138,54086,,
264071.42,53477.6031,,
263148.01,53474.5,,
263239.195,54154.2034,,
262839.975,54544.5743,,
263699,55224,,
263367.284,56195.9813,,
261769.249,52843,,
261728.377,52487.1196,,
259952.058,50066.2338,,
259749.926,50324.7474,,
259674.722,50801.5,,
259809.143,53753.7379,,
258844.347,51474.4669,,
258834.954,51592.0548,,
260349.055,53115.227,,
261265.371,51954.0505,,
260694.357,52502.3762,,
261016.029,52467.8892,,
260490.373,51807,,
259995.925,53840.472,,
260440.844,55057.0855,,
261107.432,56554.1075,,
261107.432,56554.1075,,
261935.186,58028.3163,,
2622114.36,57977.4671,,
262601.213,58291.5548,,
262730.153,58045.5,,
262730.153,58045.5,,
262030.679,56986,,
261722.93,52281.1511,,
261923,52338,,
264940.275,53360.001,,
264940.275,53360.001,,
264057.319,53499.6466,,
263527.64,53497.9399,,
263527.64,53497.9399,,
263034.167,54895.9101,,
263034.167,54895.9101,,
263099.718,55942,,
263099.718,55942,,
262857.34,55605,,
262857.34,55605,,
262609,55365,,
262609,55365,,
